item_id,source_dataset,source_split,scenario_text,label,label_semantics,primary_trait,secondary_traits,annotation_confidence,annotation_notes,keep_for_mvp,pair_id
synthetic_honesty_001_upheld,SYNTHETIC,synthetic,I told the cashier she'd given me too much change and handed the extra back.,0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: cashier change,True,honesty_001
synthetic_honesty_001_violated,SYNTHETIC,synthetic,I noticed the cashier had given me too much change and kept it without saying anything.,1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: cashier change,True,honesty_001
synthetic_honesty_002_upheld,SYNTHETIC,synthetic,I told my manager the project would miss its deadline as soon as I realized it.,0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: work deadline,True,honesty_002
synthetic_honesty_002_violated,SYNTHETIC,synthetic,I told my manager the project was on track even though I knew it would miss its deadline.,1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: work deadline,True,honesty_002
synthetic_honesty_003_upheld,SYNTHETIC,synthetic,I told my friend the soup she made tasted a bit too salty when she asked.,0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: friend's cooking,True,honesty_003
synthetic_honesty_003_violated,SYNTHETIC,synthetic,I told my friend the soup was delicious even though it tasted far too salty.,1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: friend's cooking,True,honesty_003
synthetic_honesty_004_upheld,SYNTHETIC,synthetic,I left a note on the car I'd scratched in the parking lot with my contact details.,0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: car damage,True,honesty_004
synthetic_honesty_004_violated,SYNTHETIC,synthetic,I drove away after scratching a parked car without leaving any note.,1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: car damage,True,honesty_004
synthetic_honesty_005_upheld,SYNTHETIC,synthetic,I told the teacher I'd accidentally seen part of the answer key before the test.,0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: exam answer key,True,honesty_005
synthetic_honesty_005_violated,SYNTHETIC,synthetic,I used answers I'd accidentally seen from the key without telling anyone.,1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: exam answer key,True,honesty_005
synthetic_honesty_006_upheld,SYNTHETIC,synthetic,I wrote a review describing exactly what went wrong with the product I bought.,0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: online review,True,honesty_006
synthetic_honesty_006_violated,SYNTHETIC,synthetic,I wrote a five-star review for a product that broke the first time I used it.,1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: online review,True,honesty_006
synthetic_honesty_007_upheld,SYNTHETIC,synthetic,I told the interviewer I didn't have experience with the software they asked about.,0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: job interview,True,honesty_007
synthetic_honesty_007_violated,SYNTHETIC,synthetic,I told the interviewer I had years of experience with software I'd never used.,1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: job interview,True,honesty_007
synthetic_honesty_008_upheld,SYNTHETIC,synthetic,"I told the store the item was already broken when I found it, not from my use.",0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: returning item,True,honesty_008
synthetic_honesty_008_violated,SYNTHETIC,synthetic,"I told the store I hadn't used the item at all, even though I'd used it for weeks.",1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: returning item,True,honesty_008
synthetic_honesty_009_upheld,SYNTHETIC,synthetic,I flagged the error in the spreadsheet as soon as I noticed the numbers were wrong.,0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: spreadsheet error,True,honesty_009
synthetic_honesty_009_violated,SYNTHETIC,synthetic,I noticed the numbers in the spreadsheet were wrong and left them as they were.,1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: spreadsheet error,True,honesty_009
synthetic_honesty_010_upheld,SYNTHETIC,synthetic,I told my partner exactly where I'd been the night before.,0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: whereabouts,True,honesty_010
synthetic_honesty_010_violated,SYNTHETIC,synthetic,I told my partner I'd been somewhere different from where I actually was.,1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: whereabouts,True,honesty_010
