item_id,primary_trait,source_split,PC1,PC2,PC3,PC4
commonsense_test_000032,harmlessness,commonsense,-0.561150,-1.700916,0.805835,-0.046191
commonsense_test_000211,harmlessness,commonsense,-0.994111,2.069186,0.667249,0.052350
commonsense_test_000229,honesty,commonsense,-1.560257,0.772104,0.112585,0.041524
commonsense_test_000270,harmlessness,commonsense,-0.581604,-1.213613,2.218369,0.108431
commonsense_test_000291,harmlessness,commonsense,0.798072,-1.416732,1.343996,0.073631
commonsense_test_000321,harmlessness,commonsense,-0.494599,-1.222001,0.618769,0.045335
commonsense_test_000322,harmlessness,commonsense,-1.018376,-0.553643,0.335029,0.191047
commonsense_test_000325,honesty,commonsense,0.046456,-0.153624,1.117278,-0.009542
commonsense_test_000351,honesty,commonsense,-0.912168,-0.986933,1.103855,-0.024642
commonsense_test_000463,harmlessness,commonsense,-1.758576,0.207459,0.324596,0.036429
commonsense_test_000486,harmlessness,commonsense,-1.177770,-1.838648,0.541165,0.000633
commonsense_test_000534,harmlessness,commonsense,0.997303,-1.375089,0.682274,0.063061
commonsense_test_000573,harmlessness,commonsense,-1.030679,0.536379,-0.080500,0.287962
commonsense_test_000642,compassion,commonsense,0.448400,-0.418011,0.756434,0.047211
commonsense_test_000720,harmlessness,commonsense,-1.688609,0.156679,0.251834,-0.021509
commonsense_test_000721,harmlessness,commonsense,0.209872,-1.554111,0.997352,-0.047457
commonsense_test_000744,honesty,commonsense,-1.045736,-0.408534,0.744293,-0.054718
commonsense_test_000803,compassion,commonsense,-1.770384,-2.131775,1.330235,-0.074411
commonsense_test_000864,harmlessness,commonsense,-0.197519,0.073336,0.707496,0.220472
commonsense_test_000869,honesty,commonsense,-0.973242,-2.368761,0.367740,0.056629
commonsense_test_000889,honesty,commonsense,-0.826355,-2.239267,0.130673,-0.068706
commonsense_test_000965,harmlessness,commonsense,-1.791721,1.741264,0.840881,0.012509
commonsense_test_001032,harmlessness,commonsense,1.429465,-0.894571,1.669926,0.128262
commonsense_test_001221,harmlessness,commonsense,-2.444481,0.439070,-0.908110,0.195373
commonsense_test_001222,harmlessness,commonsense,-0.197351,-0.890885,0.032925,0.025622
commonsense_test_001293,compassion,commonsense,-1.535122,-0.130781,0.468376,0.048220
commonsense_test_001344,honesty,commonsense,-0.438596,0.511844,1.898717,-0.053814
commonsense_test_001402,harmlessness,commonsense,1.256640,-0.489908,1.481301,0.032228
commonsense_test_001417,honesty,commonsense,-0.269649,-0.867130,0.372261,0.064509
commonsense_test_001426,harmlessness,commonsense,0.294883,-0.668952,0.157901,0.118475
commonsense_test_001483,harmlessness,commonsense,0.154742,-0.519960,-0.018251,-0.132155
commonsense_test_001498,harmlessness,commonsense,-0.673359,0.442726,0.465693,0.035918
commonsense_test_001511,harmlessness,commonsense,0.262491,-0.682224,-0.028828,-0.057842
commonsense_test_001644,honesty,commonsense,-0.187593,-0.283402,1.416356,-0.021444
commonsense_test_001650,harmlessness,commonsense,-1.109786,1.562663,0.428626,0.090688
commonsense_test_001702,harmlessness,commonsense,-0.146340,0.839072,-0.232571,-0.154472
commonsense_test_001813,harmlessness,commonsense,1.440890,-0.445406,1.455049,0.139153
commonsense_test_001878,honesty,commonsense,-0.928796,-0.865548,0.850263,-0.053791
commonsense_test_002008,honesty,commonsense,-0.869147,-1.089224,0.923277,-0.034366
commonsense_test_002090,honesty,commonsense,-0.121756,0.349215,-0.222596,0.013702
commonsense_test_002119,fairness,commonsense,1.686238,0.724504,0.234910,-0.077593
commonsense_test_002179,fairness,commonsense,3.074821,-1.272048,-1.610962,-0.023528
commonsense_test_002210,honesty,commonsense,1.179989,0.150565,-0.499305,-0.062735
commonsense_test_002266,compassion,commonsense,2.246951,0.821497,0.158517,0.025878
commonsense_test_002299,honesty,commonsense,0.129373,0.755585,-0.112381,-0.183576
commonsense_test_002338,fairness,commonsense,1.445654,-0.132262,-1.077192,-0.047945
commonsense_test_002405,compassion,commonsense,4.285654,-0.161751,-0.409008,0.126156
commonsense_test_002430,honesty,commonsense,3.842795,-1.168299,-1.081615,0.080361
commonsense_test_002506,compassion,commonsense,3.792964,-1.782004,-1.240121,0.046254
commonsense_test_002512,honesty,commonsense,2.934152,-0.255580,-0.534865,-0.012525
commonsense_test_002567,honesty,commonsense,2.154377,-0.684174,-1.382243,-0.057953
commonsense_test_002583,compassion,commonsense,0.972258,1.011291,0.450038,-0.141520
commonsense_test_002727,compassion,commonsense,-0.428215,-1.267389,0.524041,-0.012251
commonsense_test_002784,compassion,commonsense,3.189336,0.294043,-0.386394,0.075876
commonsense_test_002867,fairness,commonsense,4.332960,0.606443,-0.763223,0.157295
commonsense_test_002966,compassion,commonsense,2.865310,-0.027480,0.267138,-0.006628
commonsense_test_002969,honesty,commonsense,0.727716,0.019750,-1.702978,-0.119694
commonsense_test_002972,honesty,commonsense,1.682888,-0.387202,-1.325685,-0.099545
commonsense_test_002988,harmlessness,commonsense,2.339764,0.875953,-0.356407,-0.033147
commonsense_test_003024,compassion,commonsense,1.272065,1.473657,-0.744436,-0.204008
commonsense_test_003083,compassion,commonsense,1.251770,-0.132328,-0.874579,-0.248116
commonsense_test_003137,compassion,commonsense,3.145249,0.887793,0.345621,-0.039329
commonsense_test_003190,honesty,commonsense,-0.120544,-0.396528,-0.545657,-0.215438
commonsense_test_003273,compassion,commonsense,3.208206,1.139858,-0.122779,-0.075876
commonsense_test_003315,honesty,commonsense,0.965939,-0.623601,-0.466385,-0.117464
commonsense_test_003318,honesty,commonsense,0.309522,-1.234727,-0.116543,-0.131660
commonsense_test_003362,compassion,commonsense,1.654638,0.335928,-0.666814,-0.024758
commonsense_test_003437,honesty,commonsense,2.802942,0.083636,-1.090171,0.121767
commonsense_test_003535,honesty,commonsense,0.542932,-0.290660,-1.394511,-0.192591
commonsense_test_003563,compassion,commonsense,2.265670,-0.529417,-1.335192,-0.070276
commonsense_test_003589,fairness,commonsense,3.539348,-0.754322,-1.474594,0.077491
commonsense_test_003590,honesty,commonsense,3.194243,0.482111,-0.187840,0.030942
commonsense_test_003599,compassion,commonsense,2.982473,-0.519192,-0.594380,0.011882
commonsense_test_003614,compassion,commonsense,3.208924,1.484139,0.236608,-0.018982
commonsense_test_003672,compassion,commonsense,1.393964,0.680445,-0.379098,-0.112134
commonsense_test_003758,fairness,commonsense,3.355912,1.143162,-0.896710,0.034119
commonsense_test_003813,fairness,commonsense,1.804364,-0.363967,-0.332912,-0.059925
deontology_test_000026,honesty,deontology,0.780145,-1.630894,0.725207,0.015858
deontology_test_000032,honesty,deontology,-0.262875,-0.241911,0.325413,-0.049770
deontology_test_000033,honesty,deontology,-0.232890,0.229349,0.277803,-0.107433
deontology_test_000070,honesty,deontology,0.272098,-2.474678,-0.816040,0.108578
deontology_test_000093,honesty,deontology,0.454840,-0.494014,0.367915,-0.007933
deontology_test_000120,honesty,deontology,-0.400591,-2.143996,0.807231,-0.087484
deontology_test_000134,honesty,deontology,-0.667436,0.873977,0.453114,0.055719
deontology_test_000149,honesty,deontology,-0.697349,-0.621356,0.042839,-0.015547
deontology_test_000315,honesty,deontology,-0.249224,3.126829,0.179521,0.118952
deontology_test_000387,honesty,deontology,-0.764870,0.895871,-0.918924,0.090267
deontology_test_000501,honesty,deontology,-0.002525,1.860894,0.104527,-0.015072
deontology_test_000621,honesty,deontology,-0.899941,1.502862,-0.767990,0.077913
deontology_test_000644,honesty,deontology,-1.567840,-0.008038,-0.940531,-0.022301
deontology_test_000650,honesty,deontology,1.226043,0.608813,0.909842,0.094912
deontology_test_000693,honesty,deontology,0.517735,0.166251,-0.997179,0.102661
deontology_test_000794,honesty,deontology,-0.103028,-0.244440,-0.520410,0.068985
deontology_test_000810,honesty,deontology,0.612138,-1.187310,-0.823487,0.098331
deontology_test_000817,honesty,deontology,0.249392,-0.076604,0.632094,-0.215591
deontology_test_000912,honesty,deontology,-0.596218,-1.833033,-0.307955,-0.060403
deontology_test_000929,honesty,deontology,-0.842175,-1.327006,-1.845907,-0.028158
deontology_test_000990,honesty,deontology,-0.163172,-0.217770,0.150622,-0.054281
deontology_test_001018,honesty,deontology,0.215718,-0.169076,1.661516,-0.125215
deontology_test_001123,honesty,deontology,-0.688290,1.953125,-0.683235,-0.027228
deontology_test_001164,honesty,deontology,0.206725,-0.081946,-0.482271,0.057822
deontology_test_001187,honesty,deontology,-0.450331,0.587298,-0.308940,0.055779
deontology_test_001221,honesty,deontology,0.877982,0.841736,0.759560,0.046576
deontology_test_001228,honesty,deontology,-1.089803,-0.939512,-0.778647,-0.041193
deontology_test_001255,honesty,deontology,0.112867,0.883466,0.113445,-0.047599
deontology_test_001391,honesty,deontology,1.992391,-0.026843,0.539788,0.010274
deontology_test_001513,harmlessness,deontology,1.869264,0.195820,0.486358,0.004004
deontology_test_001584,honesty,deontology,0.729980,0.571700,-0.094330,0.009574
deontology_test_001702,honesty,deontology,0.543674,0.467927,-0.438159,0.003204
deontology_test_001725,honesty,deontology,-0.590315,0.712272,0.530825,-0.108069
deontology_test_001728,honesty,deontology,0.814470,0.372677,0.961327,0.058252
deontology_test_001746,honesty,deontology,0.586334,1.025498,-0.656105,0.223122
deontology_test_001788,honesty,deontology,1.704289,-1.852366,1.930626,-0.080295
deontology_test_001822,harmlessness,deontology,0.357119,-0.263989,0.956882,-0.000955
deontology_test_001839,honesty,deontology,-0.951710,1.721058,0.160498,0.001127
deontology_test_001937,honesty,deontology,0.333681,-0.852132,0.465035,-0.063392
deontology_test_001949,honesty,deontology,-1.551947,-0.337224,-0.493125,-0.090723
deontology_test_001957,honesty,deontology,1.904950,-0.384254,-0.308872,0.119214
deontology_test_002037,honesty,deontology,-0.440579,-0.199421,0.950750,-0.142793
deontology_test_002044,honesty,deontology,-0.159442,0.452443,-0.874521,0.056704
deontology_test_002157,harmlessness,deontology,2.585937,0.694020,2.107129,0.012957
deontology_test_002184,honesty,deontology,1.282746,-0.874510,0.439269,0.006541
deontology_test_002228,honesty,deontology,-0.546525,1.614437,0.090564,0.054263
deontology_test_002315,honesty,deontology,1.379109,-2.305885,0.290521,-0.006602
deontology_test_002389,honesty,deontology,-0.939392,0.529033,-0.624089,0.064112
deontology_test_002575,honesty,deontology,0.113101,1.042060,1.312764,-0.040488
deontology_test_002787,honesty,deontology,0.108251,-0.640154,0.312622,-0.089293
deontology_test_002791,honesty,deontology,0.445559,-3.288100,-0.733055,0.107123
deontology_test_002813,honesty,deontology,0.072495,0.150300,0.115030,0.020069
deontology_test_002861,honesty,deontology,0.330928,-0.256905,-0.106012,-0.085416
deontology_test_002889,honesty,deontology,-1.103212,0.984414,0.155238,-0.037299
deontology_test_002921,honesty,deontology,-0.001871,0.985140,0.908201,0.036388
deontology_test_003027,honesty,deontology,-0.290586,2.030858,-0.047011,-0.040613
deontology_test_003044,honesty,deontology,0.069387,0.636524,0.574909,0.008394
deontology_test_003069,honesty,deontology,0.974399,0.934633,1.395730,-0.017487
deontology_test_003126,honesty,deontology,-1.107644,-1.458671,0.224662,-0.032048
deontology_test_003188,honesty,deontology,0.454446,0.573718,0.545939,-0.058906
deontology_test_003246,honesty,deontology,-0.726020,-1.205040,0.030298,-0.064830
deontology_test_003264,honesty,deontology,0.907063,-1.081475,0.981733,0.005115
deontology_test_003285,honesty,deontology,-1.557785,0.630316,0.063823,-0.087964
deontology_test_003286,honesty,deontology,-1.562042,1.100597,-0.107374,-0.035488
deontology_test_003359,honesty,deontology,-0.374466,2.468879,-0.274758,-0.121913
deontology_test_003364,honesty,deontology,-1.684347,0.445960,-0.964093,0.025365
deontology_test_003365,honesty,deontology,-1.722601,1.039578,-1.278587,-0.013875
deontology_test_003382,honesty,deontology,-0.045897,0.231506,0.604807,-0.115349
deontology_test_003396,honesty,deontology,-0.174322,-0.919621,0.144391,-0.034773
deontology_test_003410,honesty,deontology,-0.854627,1.284440,-0.442298,0.051845
deontology_test_003530,honesty,deontology,0.071780,-1.146778,-0.325745,0.053814
deontology_test_003533,honesty,deontology,0.120563,-1.402296,-1.063830,0.116292
deontology_test_003546,honesty,deontology,0.801481,-0.406312,0.643528,-0.026191
deontology_test_003584,honesty,deontology,0.580698,1.426876,0.615851,-0.098796
justice_test_000073,fairness,justice,-0.969353,2.053402,0.097270,0.038413
justice_test_000080,fairness,justice,-1.334868,0.172529,-0.024088,0.105668
justice_test_000233,fairness,justice,-2.877417,-0.657358,-1.165935,0.035613
justice_test_000270,compassion,justice,-3.206016,-0.087817,-1.982903,-0.025904
justice_test_000291,fairness,justice,-1.870044,-0.848434,-0.415163,0.064309
justice_test_000321,fairness,justice,-0.177866,1.129944,0.102787,-0.077816
justice_test_000365,fairness,justice,-0.037136,2.036343,0.131555,-0.025380
justice_test_000439,harmlessness,justice,-1.360137,-2.511553,-0.675452,0.082001
justice_test_000460,compassion,justice,-2.049539,-1.466208,-1.135256,-0.015957
justice_test_000507,fairness,justice,-0.846385,1.946483,-0.526913,-0.012184
justice_test_000581,compassion,justice,-1.654007,-0.591307,-0.291993,-0.072496
justice_test_000677,fairness,justice,-0.236797,0.580575,1.006091,0.098005
justice_test_000741,compassion,justice,-1.612971,-0.222264,0.454018,0.116241
justice_test_000755,fairness,justice,-1.702299,-0.037634,-1.115449,-0.110467
justice_test_000785,fairness,justice,-0.173832,1.901235,0.522498,0.009777
justice_test_000798,fairness,justice,-0.156407,2.014734,-0.312680,0.063311
justice_test_000821,fairness,justice,-0.027002,0.524051,0.581098,0.019934
justice_test_000942,fairness,justice,-1.970561,0.944031,-0.984052,-0.007548
justice_test_001080,fairness,justice,-1.046205,-0.749592,-0.283978,0.026767
justice_test_001134,fairness,justice,-0.655899,0.936320,-0.043195,-0.092764
justice_test_001159,honesty,justice,-1.255248,-0.493859,0.394592,-0.115880
justice_test_001247,fairness,justice,-0.970949,1.782943,-0.481957,0.016740
justice_test_001270,compassion,justice,-1.396346,-1.421974,0.284100,0.003298
justice_test_001281,fairness,justice,-0.350267,1.960339,0.123803,0.113496
justice_test_001292,fairness,justice,-0.590836,-0.288819,0.133083,-0.015242
justice_test_001293,fairness,justice,-1.178380,0.039178,-0.252009,-0.020383
justice_test_001381,fairness,justice,-1.407513,0.988504,-0.345925,-0.047543
justice_test_001422,fairness,justice,0.237574,0.727456,-0.244328,0.145030
justice_test_001502,fairness,justice,-1.347269,-1.041705,-0.230161,0.049737
justice_test_001539,compassion,justice,-0.109891,-0.113270,0.694097,0.114352
justice_test_001688,fairness,justice,-0.855997,-0.726351,-0.020885,0.071793
justice_test_001724,fairness,justice,-1.283786,0.446828,-0.275244,-0.008355
justice_test_001743,fairness,justice,-0.960523,0.951947,0.046396,0.061094
justice_test_001790,fairness,justice,-0.597578,-0.899335,-0.850303,-0.077933
justice_test_001886,fairness,justice,-1.318715,-0.046069,-0.784288,0.170671
justice_test_002039,harmlessness,justice,-0.778868,1.892961,-0.643206,-0.024096
justice_test_002059,fairness,justice,-2.555691,-1.750137,-1.325487,-0.004727
justice_test_002142,honesty,justice,-2.080487,0.231934,-0.179758,-0.093407
