trait,layer,vector_path,n_positive,n_negative,vector_method,normalization,hidden_dim
truthfulness,16,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/truthfulness_layer16.npy,100,39,difference_of_means,unit_norm,3840
truthfulness,24,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/truthfulness_layer24.npy,100,39,difference_of_means,unit_norm,3840
truthfulness,28,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/truthfulness_layer28.npy,100,39,difference_of_means,unit_norm,3840
truthfulness,32,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/truthfulness_layer32.npy,100,39,difference_of_means,unit_norm,3840
truthfulness,40,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/truthfulness_layer40.npy,100,39,difference_of_means,unit_norm,3840
truthfulness,47,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/truthfulness_layer47.npy,100,39,difference_of_means,unit_norm,3840
harm_avoidance,16,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/harm_avoidance_layer16.npy,100,16,difference_of_means,unit_norm,3840
harm_avoidance,24,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/harm_avoidance_layer24.npy,100,16,difference_of_means,unit_norm,3840
harm_avoidance,28,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/harm_avoidance_layer28.npy,100,16,difference_of_means,unit_norm,3840
harm_avoidance,32,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/harm_avoidance_layer32.npy,100,16,difference_of_means,unit_norm,3840
harm_avoidance,40,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/harm_avoidance_layer40.npy,100,16,difference_of_means,unit_norm,3840
harm_avoidance,47,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/harm_avoidance_layer47.npy,100,16,difference_of_means,unit_norm,3840
impartiality,16,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/impartiality_layer16.npy,100,6,difference_of_means,unit_norm,3840
impartiality,24,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/impartiality_layer24.npy,100,6,difference_of_means,unit_norm,3840
impartiality,28,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/impartiality_layer28.npy,100,6,difference_of_means,unit_norm,3840
impartiality,32,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/impartiality_layer32.npy,100,6,difference_of_means,unit_norm,3840
impartiality,40,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/impartiality_layer40.npy,100,6,difference_of_means,unit_norm,3840
impartiality,47,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/impartiality_layer47.npy,100,6,difference_of_means,unit_norm,3840
empathy,16,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/empathy_layer16.npy,49,33,difference_of_means,unit_norm,3840
empathy,24,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/empathy_layer24.npy,49,33,difference_of_means,unit_norm,3840
empathy,28,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/empathy_layer28.npy,49,33,difference_of_means,unit_norm,3840
empathy,32,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/empathy_layer32.npy,49,33,difference_of_means,unit_norm,3840
empathy,40,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/empathy_layer40.npy,49,33,difference_of_means,unit_norm,3840
empathy,47,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/controls/synonym_vectors/persona_vectors/empathy_layer47.npy,49,33,difference_of_means,unit_norm,3840
